record_id,citation,doi,report_access,full_text_stage,final_role,six_domain_appraisal,quantitative_performance_use
E34,"ARANGO C, MORALES C A. Comparison between multicopter UAV and total station for estimating stockpile volumes[C]//Int Arch Photogramm Remote Sens Spatial Inf Sci, 2015, XL-1/W4: 131-135. DOI: 10.5194/isprsarchives-XL-1-W4-131-2015.",10.5194/isprsarchives-xl-1-w4-131-2015,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E35,"RAEVA P L, FILIPOVA S L, FILIPOV D G. Volume computation of a stockpile – a study case comparing GPS and UAV measurements in an open pit quarry[C]//Int Arch Photogramm Remote Sens Spatial Inf Sci, 2016, XLI-B1: 999-1004. DOI: 10.5194/isprs-archives-XLI-B1-999-2016.",10.5194/isprs-archives-xli-b1-999-2016,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E36,"TUCCI G, GEBBIA A, CONTI A, et al. Monitoring and Computation of the Volumes of Stockpiles of Bulk Material by Means of UAV Photogrammetric Surveying[J]. Remote Sensing, 2019, 11(12): 1471. DOI: 10.3390/rs11121471.",10.3390/rs11121471,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E365,Ashwani Jaiswal; Nikhil Bugalia; Q. P. Ha. Optimizing Structure from Motion Parameters for Volume Estimation of Construction and Demolition Waste. Proceedings of the ... ISARC. 2025. https://doi.org/10.22260/isarc2025/0127,10.22260/isarc2025/0127,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E37,"ALSAYED A, NABAWY M R A. Indoor Stockpile Reconstruction Using Drone-Borne Actuated Single-Point LiDARs[J]. Drones, 2022, 6(12): 386. DOI: 10.3390/drones6120386.",10.3390/drones6120386,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E370,Gideon Samari Suno; Henny Magdalena; Windhu Nugroho; Agus Winarno; Tommy Trides. Perbandingan Perhitungan Volume Stockpile Batu Andesit Menggunakan Alat Survey Terrestrial Laser Scanner dan Global Positioning Sistem Real Time Kinematik pada PT. Bara Tabang. Venus Jurnal Publikasi Rumpun Ilmu Teknik . 2025. https://doi.org/10.61132/venus.v3i3.932,10.61132/venus.v3i3.932,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E39,"KUINKEL M S, ZHANG C, LIU P, et al. Suitability Study of Using UAVs to Estimate Landfilled Fly Ash Stockpile[J]. Sensors, 2023, 23(3): 1242. DOI: 10.3390/s23031242.",10.3390/s23031242,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E401,Chang Su; Liu Wang; Zhuang Wu; Hua Xu. Research on Weighing of Concrete Aggregate Pile Based on Binocular Vision. Informatica. 2022. https://doi.org/10.31449/inf.v46i7.4115,10.31449/inf.v46i7.4115,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E41,"CHEN Y W, CHEN C F, KAU L J, et al. Application of LiDAR-Based Technology to Construction Material Volume Estimation[J]. Remote Sensing, 2026, 18(10): 1649. DOI: 10.3390/rs18101649.",10.3390/rs18101649,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E75,"MANISH R, HASHEMINASAB S M, LIU J, et al. Image-aided LiDAR mapping platform and data processing strategy for stockpile volume estimation[J]. *Remote Sensing*, 2022, 14(1): 231. DOI: 10.3390/rs14010231.",10.3390/rs14010231,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E76,"MAHLBERG J A, MANISH R, KOSHAN Y, et al. Salt stockpile inventory management using LiDAR volumetric measurements[J]. *Remote Sensing*, 2022, 14(19): 4802. DOI: 10.3390/rs14194802.",10.3390/rs14194802,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E77,"HASHEMINASAB S M, ZHOU T, HABIB A. Linear feature-based image/LiDAR integration for a stockpile monitoring and reporting technology[J]. *IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing*, 2023, 16: 2605–2623. DOI: 10.1109/JSTARS.2023.3250392.",10.1109/jstars.2023.3250392,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E78,"KOSHAN Y, MANISH R, JOSEPH M, HABIB A. Alternative LiDAR technologies for stockpile monitoring and reporting[C]. *ISPRS Archives*, 2023, XLVIII-1/W2-2023: 649–656. DOI: 10.5194/isprs-archives-XLVIII-1-W2-2023-649-2023.",10.5194/isprs-archives-xlviii-1-w2-2023-649-2023,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E80,"AJAYI O G, AJULO J. Investigating the applicability of UAV photogrammetry for the estimation of the volume of stockpiles[J]. *Quaestiones Geographicae*, 2021, 40(1): 25–38. DOI: 10.2478/quageo-2021-0002.",10.2478/quageo-2021-0002,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E81,"HE H, CHEN T, ZENG H, HUANG S. Ground control point-free unmanned aerial vehicle-based photogrammetry for volume estimation of stockpiles carried on barges[J]. *Sensors*, 2019, 19(16): 3534. DOI: 10.3390/s19163534.",10.3390/s19163534,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E82,"DAVIS D J A, GUY N S. An assessment of point cloud data acquisition techniques for aggregate stockpiles and volumetric surveys[C]. *ISPRS Archives*, 2023, XLVIII-M-3-2023: 65–69. DOI: 10.5194/isprs-archives-XLVIII-M-3-2023-65-2023.",10.5194/isprs-archives-xlviii-m-3-2023-65-2023,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E84,"ALSAYED A, YUNUSA-KALTUNGO A, QUINN M K, ARVIN F, NABAWY M R A. Drone-assisted confined space inspection and stockpile volume estimation[J]. *Remote Sensing*, 2021, 13: 3356. DOI: 10.3390/rs13173356.",10.3390/rs13173356,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E87,"BLISTAN P, JACKO S, KOVANIČ Ľ, et al. TLS and SfM approach for bulk density determination of excavated heterogeneous raw materials[J]. *Minerals*, 2020, 10: 174. DOI: 10.3390/min10020174.",10.3390/min10020174,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E89,"SIRIBA D N, MATARA S M, MUSYOKA S M. Improvement of volume estimation of stockpile of earthworks using a concave hull-footprint[J]. *Micro, Macro & Mezzo Geo Information*, 2015, 5: 11–25.",,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E04,"ALSAYED A, NABAWY M R A. Stockpile volume estimation in open and confined environments: a review[J]. Drones, 2023, 7(8): 537. DOI: 10.3390/drones7080537.",10.3390/drones7080537,FT,INCLUDED,SPECIALIST-REVIEW,no,claim-specific
